plan_name,stage,scenario,seed,symbols,nu,spans,launch_power_dbm,allowed_to_select_operating_point,current_status,priority
final_independent_confirmation_v1,final_confirmation,C,43,131072,0.36,10,2,False,positive discovery-stage result; borderline at larger-symbol confirmation,high
final_independent_confirmation_v1,final_confirmation,C,44,131072,0.36,10,2,False,positive discovery-stage result; borderline at larger-symbol confirmation,high
final_independent_confirmation_v1,final_confirmation,C,45,131072,0.36,10,2,False,positive discovery-stage result; borderline at larger-symbol confirmation,high
final_independent_confirmation_v1,final_confirmation,C,46,131072,0.36,10,2,False,positive discovery-stage result; borderline at larger-symbol confirmation,high
final_independent_confirmation_v1,final_confirmation,C,47,131072,0.36,10,2,False,positive discovery-stage result; borderline at larger-symbol confirmation,high
final_independent_confirmation_v1,final_confirmation,C,48,131072,0.36,10,2,False,positive discovery-stage result; borderline at larger-symbol confirmation,high
final_independent_confirmation_v1,final_confirmation,C,49,131072,0.36,10,2,False,positive discovery-stage result; borderline at larger-symbol confirmation,high
final_independent_confirmation_v1,final_confirmation,C,50,131072,0.36,10,2,False,positive discovery-stage result; borderline at larger-symbol confirmation,high
final_independent_confirmation_v1,final_confirmation,S,21,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,22,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,23,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,24,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,25,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,26,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,27,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,28,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,29,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,30,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,31,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,32,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,33,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,34,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,35,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,36,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,37,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,38,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,39,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,40,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,41,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,42,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,43,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,44,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,45,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,46,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,47,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,48,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,49,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,S,50,131072,0.36,12,-2,False,strongest confirmed internal result,high
final_independent_confirmation_v1,final_confirmation,C+S,21,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,22,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,23,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,24,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,25,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,26,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,27,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,28,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,29,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,30,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,31,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,32,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,33,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,34,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,35,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,36,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,37,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,38,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,39,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,40,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,41,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,42,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,43,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,44,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,45,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,46,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,47,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,48,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,49,131072,0.36,12,0,False,exploratory internal shaping result,highest
final_independent_confirmation_v1,final_confirmation,C+S,50,131072,0.36,12,0,False,exploratory internal shaping result,highest
